employee_id,first_name,last_name,date_of_birth,gender,address,phone_number,email,position,department,hire_date,salary
41,منيف,آل بن ظافر,1987-11-06,ذكر,"93450 آل العسكري Streets Suite 524
آل عطفةberg, IA 23510",310.880.6827x606,lmhydbnyl@example.com,محلل مالي,المالية,2016-05-21,22359.73
42,جوريّة,آل العسكري,2000-03-12,أنثى,"459 الحكير Points Apt. 100
بن لادنfort, MH 66407",(377)627-3175x221,ljbrrmhy@example.com,محلل مالي,خدمة العملاء,2024-07-13,14050.23
43,شادن,بقشان,1992-05-22,أنثى,"5157 أبا الخيل Plain
المهيدبstad, AK 20939",001-929-401-6595,khlyf49@example.org,مدير فرع,العمليات,2019-09-24,8589.62
44,بيلسان,شربتلي,1991-03-10,أنثى,"PSC 0958, Box 4070
APO AE 59346",614.879.3572,ual-rfy@example.com,مسؤول ائتمان,المالية,2022-01-20,14910.56
45,ترف,حجار,1994-05-04,أنثى,"21758 ناظم Causeway Suite 484
شعيبfurt, NJ 40614",215-272-9674x18268,almhn@example.net,مسؤول خدمة عملاء,الائتمان,2022-02-24,23813.94
46,روعة,الجفالي,1996-05-23,أنثى,"80836 شافع Via Apt. 051
North فطينbury, AL 81741",(829)996-2144x5030,sfynlrshd@example.com,مسؤول خدمة عملاء,الدعم الفني,2019-08-26,24262.45
47,مُنجد,كانو,1998-03-16,ذكر,"48074 آل سلطان Dale Apt. 921
South عمّار, MD 30806",(244)986-8305,al-lyhrth@example.com,صراف,الائتمان,2019-05-31,11391.03
48,كاملة,المهنا,1970-11-11,أنثى,"596 لانا Forest
مُصلحfort, SD 85865",702.372.1684x1319,dljln@example.com,مسؤول ائتمان,الدعم الفني,2018-09-28,22395.19
49,مختار,الجفالي,1992-12-06,ذكر,"2615 الراشد Ports Suite 022
رشيدborough, NV 26248",001-873-923-7784,shhdal-lskry@example.org,مدير فرع,الائتمان,2018-04-02,14629.46
50,مرزوق,الراشد,1964-08-29,ذكر,"747 آل سلطان Fall Apt. 576
شهمmouth, NJ 36744",(379)771-8575,fwwz47@example.net,مسؤول دعم فني,الدعم الفني,2021-08-16,9363.35
